Title,Ratings,Production
Coco,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Walt Disney Pictures', 'Pixar Animation Studios']"
Dunkirk,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '94/100'}]",['Syncopy Inc.']
Get Out,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","['Blumhouse Productions', 'Monkeypaw Productions', 'QC Entertainment']"
The LEGO Batman Movie,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '75/100'}]","['Warner Animation Group', 'DC Entertainment', 'RatPac-Dune Entertainment', 'Lego System A/S', 'Vertigo Entertainment', 'Lin Pictures', 'Animal Logic', 'Lord Miller Productions']"
The Boss Baby,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",['DreamWorks Animation']
The Greatest Showman,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '48/100'}]","['Chernin Entertainment', 'Seed Productions', 'Laurence Mark Productions', 'TSG Entertainment']"
Pirates of the Caribbean: Dead Men Tell No Tales,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}, {'Source': 'Metacritic', 'Value': '39/100'}]","['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
Kong: Skull Island,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['Legendary Pictures', 'Tencent Pictures']"
Cars 3,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","['Walt Disney Pictures', 'Pixar Animation Studios']"
War for the Planet of the Apes,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","['Chernin Entertainment', 'TSG Entertainment']"
Wonder,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","['Lionsgate', 'Mandeville Films', 'Participant Media', 'Walden Media', 'TIK Films']"
Transformers: The Last Knight,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '27/100'}]","['di Bonaventura Pictures', 'Hasbro', 'Angry Films']"
Girls Trip,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '71/100'}]","['Will Packer Productions', 'Perfect World Pictures']"
Fifty Shades Darker,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '33/100'}]","['Perfect World Pictures', 'Michael De Luca Productions', 'Trigger Street Productions']"
Baby Driver,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '86/100'}]","['MRC', 'Big Talk Productions', 'Working Title Films']"
Pitch Perfect 3,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '31%'}, {'Source': 'Metacritic', 'Value': '40/100'}]","['Gold Circle Films', 'Brownstone Productions']"
Daddy's Home 2,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '30/100'}]",['Gary Sanchez Productions']
Murder on the Orient Express,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]","['Kinberg Genre', 'The Mark Gordon Company', 'Scott Free Productions', 'TSG Entertainment']"
Annabelle: Creation,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","['New Line Cinema', 'Atomic Monster Productions', 'The Safran Company']"
Kingsman: The Golden Circle,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '44/100'}]","['TSG Entertainment', 'Marv Films', 'Cloudy Productions']"
Blade Runner 2049,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","['Alcon Entertainment', 'Columbia Pictures', 'Bud Yorkin Productions', 'Torridon Films', '16:14 Entertainment', 'Scott Free Productions']"
The Emoji Movie,"[{'Source': 'Internet Movie Database', 'Value': '3.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",['Sony Pictures Animation']
Ferdinand,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '58/100'}]","['Blue Sky Studios', '20th Century Fox Animation', 'Davis Entertainment']"
The Post,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","['20th Century Fox', 'DreamWorks Pictures', 'Amblin Entertainment', 'Participant Media', 'Pascal Pictures', 'Star Thrower Entertainment', 'TSG Entertainment', 'Amblin Partners']"
The Mummy,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '34/100'}]","['Dark Universe', 'Perfect World Pictures', 'K/O Paper Products', 'Sean Daniel Company']"
