ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
2112,Type A Films,6.2/10,48%,37/100,3
2113,Conman & Izzy Productions,6.0/10,25%,33/100,1
2114,The Sommers Company,5.2/10,12%,3/100,1
2115,Alphaville Films,5.8/10,34%,26/100,6
2116,Goldrest Pictures,6.6/10,27%,43/100,1
2117,Borden and Rosenbush Entertainment,4.6/10,64%,57/100,1
2118,Michael DeLuca Productions,6.8/10,35%,48/100,1
2119,Penn Station Entertainment,6.0/10,27%,36/100,1
2120,"Dune Entertainment III, LLC.",6.0/10,41%,47/100,1
2121,Lawrence Gordon Productions,6.5/10,51%,55/100,5
2122,Hallway Pictures,6.9/10,78%,6/100,1
2123,WideAwake,6.9/10,78%,6/100,1
2124,Casey Silver Productions,5.4/10,52%,42/100,4
2125,Framestore Feature Animation,6.0/10,56%,53/100,1
2126,Universal Animation Studios,6.0/10,56%,53/100,1
2127,Bazmark Films Australia,6.6/10,55%,53/100,1
2128,ScreenWest,6.6/10,55%,53/100,1
2129,Alta Loma Entertainment,5.5/10,43%,55/100,1
2130,Martin Chase Productions,6.0/10,45%,53/100,2
2131,Velocity Productions Limited,6.0/10,40%,37/100,1
2132,Sechste Babelsberg Film,6.0/10,40%,37/100,1
2133,Shueisha Entertainment,6.0/10,40%,37/100,1
2134,Prom Productions,3.9/10,8%,7/100,1
2135,for Equity Pictures Medienfonds GmbH,7.0/10,37%,46/100,1
2136,Foxtor Productions,5.4/10,16%,3/100,1
2137,Grosvenor Park Productions,6.7/10,52%,52/100,4
2138,3 in the Box,2.0/10,2%,7/100,3
2139,The Story Company,4.4/10,N/A%,4/100,1
2140,Firm Film,4.4/10,N/A%,4/100,1
2141,Lucasfilm Animation,5.9/10,18%,35/100,1
2142,Mirage Enterprises,6.9/10,69%,67/100,7
2143,Neunte Babelsberg Film GmbH,7.6/10,62%,58/100,1
2144,The Donner's Company,5.8/10,22%,47/100,1
2145,Axon Films,7.6/10,94%,84/100,1
2146,Jinks/Cohen Company,7.8/10,85%,71/100,2
2147,Apipoulaï Prod.,6.0/10,38%,5/100,1
2148,Andale Pictures,6.0/10,59%,53/100,1
2149,View Askew Productions,6.8/10,56%,42/100,4
2150,"Starz Animation
(Studio credit in the United States only)",4.5/10,34%,36/100,1
2151,Vanguard Animation,4.9/10,23%,36/100,3
2152,Relativity Media LLC,7.3/10,79%,69/100,1
2153,Skyline (Baker St.) Productions,7.3/10,79%,69/100,1
2154,Bedford Falls Productions,7.6/10,70%,69/100,3
2155,Double Edged Entertainment,4.9/10,13%,27/100,1
2156,Shukovsky English Entertainment,4.9/10,13%,27/100,1
2157,Kadokawa Pictures,4.0/10,0%,24/100,1
