ID,Company Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1,Marvel Studios,7.2/10,78%,59/100,19
2,Platinum Dunes,5.9/10,38%,29/100,13
3,Sunday Night,7.2/10,70%,68/100,2
4,Warner Bros. Pictures,6.5/10,47%,39/100,7
5,Amblin Partners,7.0/10,68%,63/100,3
6,Amblin Entertainment,6.9/10,68%,59/100,26
7,Village Roadshow Pictures,6.3/10,42%,39/100,81
8,De Line Pictures,6.3/10,45%,41/100,7
9,Access Entertainment,7.4/10,65%,58/100,3
10,Dune Entertainment,6.2/10,50%,47/100,49
11,Farah Films & Management,8.0/10,74%,64/100,1
12,Columbia Pictures,6.4/10,50%,38/100,24
13,Sony Pictures Animation,6.2/10,57%,41/100,14
14,Olive Bridge Entertainment,6.5/10,71%,62/100,4
15,Animal Logic,6.6/10,65%,62/100,7
16,2.0 Entertainment,6.4/10,62%,52/100,1
17,Screen Australia,6.9/10,68%,54/100,8
18,Screen NSW,6.8/10,78%,68/100,2
19,Perfect World Pictures,6.1/10,55%,42/100,13
20,Michael De Luca Productions,6.0/10,47%,48/100,10
21,Trigger Street Productions,6.1/10,49%,52/100,9
22,Walt Disney Pictures,6.4/10,58%,46/100,116
23,Whitaker Entertainment,5.9/10,64%,39/100,3
24,Kevin Downes Productions,7.5/10,70%,29/100,1
25,Mission Pictures International,7.5/10,70%,29/100,1
26,New Line Cinema,6.4/10,52%,41/100,52
27,Davis Entertainment,5.8/10,39%,42/100,17
28,Aggregate Films,6.6/10,55%,53/100,3
29,Blumhouse Productions,5.8/10,50%,40/100,33
30,Stage 6 Films,6.5/10,65%,56/100,12
31,Flynn Picture Company,6.0/10,59%,47/100,2
32,Wrigley Pictures,5.8/10,36%,21/100,3
33,ASAP Entertainment,N/A/10,N/A%,N/A/100,1
34,Seven Bucks Productions,7.0/10,76%,58/100,2
35,Legendary Pictures,6.7/10,54%,47/100,43
36,DDY,6.5/10,57%,54/100,2
37,Gotham Group,6.6/10,51%,35/100,3
38,Temple Hill Entertainment,6.2/10,45%,47/100,15
39,Oddball Entertainment,6.8/10,42%,5/100,1
40,Metro-Goldwyn-Mayer,6.2/10,43%,38/100,22
41,GK Films,6.9/10,64%,57/100,11
42,Square Enix,6.8/10,49%,48/100,1
43,Universal Pictures,6.4/10,55%,43/100,12
44,Good Universe,6.5/10,66%,48/100,8
45,DMG Entertainment,5.8/10,31%,32/100,10
46,Hurwitz & Schlossberg Productions,6.6/10,82%,69/100,1
47,Point Grey Pictures,6.5/10,74%,64/100,8
48,TSG Entertainment,6.7/10,56%,45/100,54
49,Chernin Entertainment,6.8/10,62%,54/100,17
50,Alcon Entertainment,6.3/10,47%,43/100,29
51,Black Label Media,7.4/10,78%,68/100,7
52,Jerry Bruckheimer Films,6.5/10,42%,39/100,23
53,Diamond Film Productions,7.0/10,40%,49/100,1
54,Tooley Productions,7.0/10,40%,49/100,1
55,G-BASE,6.5/10,32%,38/100,2
56,Tyler Perry Studios,5.3/10,26%,4/100,3
57,Heyday Films,7.5/10,77%,60/100,18
58,StudioCanal,6.6/10,62%,51/100,55
59,Fox 2000 Pictures,6.3/10,48%,45/100,35
60,Temple Hill Productions,8.0/10,92%,73/100,1
61,Paramount Animation,5.5/10,43%,34/100,3
62,Rocket Pictures,4.8/10,18%,36/100,1
63,The Picture Company,6.5/10,57%,56/100,1
64,Ombra Films,6.4/10,68%,58/100,2
65,Malpaso Productions,7.1/10,67%,70/100,14
66,RatPac-Dune Entertainment,6.6/10,55%,42/100,37
67,Cave 76 Productions,6.5/10,17%,32/100,1
68,MGM Studios,6.5/10,17%,32/100,1
69,Skydance Media,6.3/10,54%,47/100,5
70,DNA Films,7.3/10,80%,64/100,11
71,Scott Rudin Productions,6.8/10,73%,52/100,35
72,Bullitt Entertainment,5.4/10,14%,28/100,1
73,Diamond Pictures,5.4/10,14%,28/100,1
74,Imagination Design Works,5.4/10,14%,28/100,1
75,Indian Paintbrush,7.2/10,77%,59/100,10
76,American Empirical Pictures,7.6/10,85%,78/100,8
77,The Fyzz Facility,6.0/10,42%,35/100,4
78,White Comet Films,5.8/10,38%,49/100,1
79,BLOOM,5.8/10,38%,49/100,1
80,Burk A Project,5.8/10,38%,49/100,1
81,Intrepid Pictures,5.7/10,33%,31/100,11
82,Rogue,5.8/10,33%,41/100,6
83,Affirm Films,6.5/10,36%,30/100,9
84,ODB Films,N/A/10,43%,N/A/100,1
85,LD Entertainment,6.4/10,61%,44/100,10
86,Voltage Pictures,7.0/10,80%,61/100,8
87,Wonderland Sound and Vision,6.0/10,39%,39/100,7
88,Broken Lizard Industries,5.7/10,25%,45/100,2
89,Cataland Films,6.0/10,30%,46/100,3
90,Apex Entertainment,6.8/10,64%,67/100,1
91,Bhansali Productions,7.0/10,72%,63/100,3
92,Viacom 18 Motion Pictures,7.3/10,71%,63/100,2
93,Boies / Schiller Film Group,6.2/10,16%,38/100,1
94,Rickard Pictures,6.2/10,16%,38/100,1
95,Aardman Animations,6.8/10,88%,61/100,6
96,British Film Institute,7.2/10,90%,77/100,8
97,Regency Enterprises,5.6/10,35%,33/100,59
98,Extension 765,6.2/10,80%,39/100,2
99,Main Journey,7.2/10,95%,88/100,1
100,Quad Productions,7.2/10,95%,88/100,1
101,Foresight Unlimited,5.7/10,43%,21/100,3
102,Parkside Pictures,4.8/10,45%,34/100,1
103,Windfall Productions,4.8/10,45%,34/100,1
104,Tadross Media Group,4.8/10,45%,34/100,1
105,Likely Story,6.7/10,64%,44/100,10
106,FilmWave,7.0/10,78%,66/100,2
107,Pure Flix,4.5/10,15%,14/100,3
108,Denver and Delilah Productions,6.3/10,58%,54/100,2
109,Blue-Tongue Films,6.7/10,77%,69/100,5
110,Boomtown Films,4.6/10,25%,7/100,1
111,Radar Pictures,6.0/10,49%,47/100,12
112,ShivHans Pictures,6.9/10,80%,51/100,4
113,Codeblack Films,6.3/10,39%,46/100,3
114,Hidden Empire Film Group,5.7/10,11%,26/100,2
115,Participant Media,6.9/10,73%,47/100,32
116,Working Title Films,6.8/10,67%,52/100,55
117,June Pictures,7.5/10,91%,84/100,2
118,B Story,7.5/10,90%,86/100,2
119,Big Indie Pictures,7.0/10,79%,66/100,4
120,Studio Ponoc,6.8/10,N/A%,73/100,1
121,MM2 Entertainment,6.7/10,50%,N/A/100,1
122,Wanda Pictures,6.9/10,55%,39/100,6
123,Wuzhou Film Distribution,6.7/10,50%,N/A/100,1
124,Fabula,7.0/10,91%,47/100,2
125,Komplizen Film,7.4/10,94%,90/100,2
126,Fun Academy Motion Pictures,N/A/10,80%,N/A/100,1
127,Mikros Image,N/A/10,80%,N/A/100,1
128,Bona Film Group,6.9/10,64%,53/100,2
129,Emperor Motion Pictures,6.9/10,70%,56/100,2
130,Film Fireworks Production,7.5/10,83%,N/A/100,1
131,Star Dream Studio Media,7.5/10,83%,N/A/100,1
132,Nadiadwala Grandson Entertainment,5.7/10,47%,N/A/100,9
133,Panorama Studios,8.0/10,71%,N/A/100,1
134,T-Series,8.0/10,71%,N/A/100,1
135,Ezekiel Films,7.9/10,N/A%,72/100,1
136,Tessalit Productions,7.9/10,N/A%,72/100,1
137,Rouge International,7.9/10,N/A%,72/100,1
138,Lucasfilm Ltd.,6.9/10,69%,53/100,8
139,Mandeville Films,6.5/10,59%,46/100,14
140,DC Films,7.2/10,66%,60/100,2
141,Tencent Pictures,7.0/10,65%,57/100,3
142,Atlas Entertainment,6.2/10,42%,36/100,11
143,Cruel and Unusual Films,6.7/10,47%,51/100,7
144,Matt Tolmach Productions,6.5/10,61%,46/100,4
145,Pascal Pictures,7.4/10,87%,54/100,3
146,Ratpac-Dune Entertainment,7.5/10,85%,69/100,1
147,Vertigo Entertainment,6.3/10,47%,52/100,17
148,Lin Pictures,7.2/10,82%,70/100,4
149,KatzSmith Productions,7.5/10,85%,69/100,1
150,Illumination Entertainment,6.6/10,62%,42/100,6
151,Marvel Entertainment,7.0/10,62%,50/100,13
152,Kinberg Genre,7.2/10,61%,33/100,8
153,Hutch Parker Productions,8.0/10,93%,77/100,1
154,The Donners' Company,7.0/10,63%,48/100,14
155,China Film,7.0/10,73%,62/100,2
156,Original Film,6.0/10,37%,32/100,34
157,One Race Films,6.7/10,51%,45/100,9
158,Pixar Animation Studios,7.6/10,85%,63/100,15
159,Syncopy Inc.,8.0/10,92%,94/100,1
160,Monkeypaw Productions,7.0/10,88%,74/100,2
161,QC Entertainment,6.8/10,71%,64/100,2
162,Warner Animation Group,7.3/10,83%,71/100,3
163,DC Entertainment,6.6/10,48%,39/100,7
164,Lego System A/S,7.5/10,93%,79/100,2
165,Lord Miller Productions,7.3/10,90%,75/100,1
166,DreamWorks Animation,6.8/10,68%,53/100,28
167,Seed Productions,7.2/10,46%,26/100,2
168,Laurence Mark Productions,5.7/10,31%,37/100,3
169,Lionsgate,5.9/10,35%,35/100,12
170,Walden Media,6.4/10,55%,49/100,29
171,TIK Films,7.5/10,70%,68/100,3
172,di Bonaventura Pictures,6.3/10,41%,39/100,9
173,Hasbro,5.8/10,22%,34/100,4
174,Angry Films,5.5/10,16%,16/100,4
175,Will Packer Productions,6.0/10,36%,32/100,6
176,MRC,6.7/10,54%,60/100,2
177,Big Talk Productions,7.5/10,78%,54/100,4
178,Gold Circle Films,6.1/10,36%,37/100,15
179,Brownstone Productions,6.0/10,31%,4/100,1
180,Gary Sanchez Productions,6.0/10,40%,22/100,11
181,The Mark Gordon Company,7.0/10,72%,44/100,8
182,Scott Free Productions,6.9/10,60%,48/100,32
183,Atomic Monster Productions,6.4/10,64%,56/100,4
184,The Safran Company,5.9/10,49%,45/100,9
185,Marv Films,7.3/10,68%,47/100,8
186,Cloudy Productions,7.3/10,64%,25/100,2
187,Bud Yorkin Productions,8.0/10,87%,8/100,1
188,Torridon Films,8.0/10,87%,8/100,1
189,16:14 Entertainment,8.0/10,87%,8/100,1
190,Blue Sky Studios,6.7/10,58%,46/100,11
191,20th Century Fox Animation,6.7/10,60%,48/100,12
192,20th Century Fox,6.2/10,52%,44/100,10
193,DreamWorks Pictures,6.7/10,55%,49/100,32
194,Star Thrower Entertainment,6.8/10,76%,48/100,3
195,Dark Universe,5.5/10,15%,34/100,1
196,K/O Paper Products,6.8/10,46%,38/100,8
197,Sean Daniel Company,6.0/10,37%,44/100,3
198,Millennium Films,6.1/10,37%,36/100,25
199,Cristal Pictures,6.9/10,40%,47/100,1
200,Brandywine Productions,6.8/10,70%,65/100,2
201,Huayi Brothers Pictures,6.5/10,58%,42/100,11
202,Reliance Entertainment,6.7/10,55%,48/100,22
203,Pariah Entertainment,6.9/10,33%,43/100,1
204,Double Dare You Productions,7.6/10,92%,87/100,1
205,Gil Netter Productions,6.0/10,26%,44/100,3
206,Windblown Media,6.3/10,19%,32/100,1
207,Blueprint Pictures,7.4/10,76%,57/100,6
208,Fox Searchlight Pictures,7.1/10,79%,56/100,8
209,Film4 Productions,7.0/10,68%,65/100,17
210,Cutting Edge Group,8.2/10,92%,88/100,1
211,Closed on Mondays Entertainment,6.7/10,77%,63/100,1
212,87Eleven,6.7/10,77%,63/100,1
213,Cross Creek Pictures,7.0/10,72%,58/100,12
214,Imagine Entertainment,6.5/10,54%,46/100,34
215,Quadrant Pictures,7.2/10,86%,65/100,1
216,Vendian Entertainment,7.1/10,68%,43/100,6
217,Weed Road Pictures,6.4/10,38%,31/100,9
218,A24,7.5/10,98%,96/100,2
219,Management 360,5.9/10,43%,44/100,3
220,IAC Films,6.9/10,86%,37/100,3
221,Feigco Entertainment,5.7/10,65%,60/100,2
222,Legendary East,6.0/10,35%,42/100,1
223,China Film Group,6.2/10,45%,39/100,5
224,Le Vision Pictures,6.0/10,35%,42/100,1
225,The Kerner Entertainment Company,5.9/10,38%,4/100,1
226,LStar Capital,6.3/10,46%,33/100,15
227,Morgan Creek Productions,5.7/10,27%,24/100,15
228,Program Pictures,5.8/10,17%,38/100,1
229,FilmNation Entertainment,6.9/10,69%,48/100,19
230,Apatow Productions,6.7/10,74%,57/100,16
231,EuropaCorp,6.4/10,43%,32/100,23
232,TF1 Films Production,6.4/10,50%,31/100,12
233,Fundamental Films,5.7/10,26%,18/100,3
234,BNP Paribas,6.5/10,49%,5/100,1
235,Orange Studio,6.8/10,73%,24/100,4
236,Novo Pictures,6.5/10,49%,5/100,1
237,River Road Entertainment,7.4/10,82%,58/100,10
238,Belga Films Fund,5.8/10,32%,18/100,2
239,The Jim Henson Company,6.0/10,52%,48/100,2
240,Franklin Entertainment,6.4/10,44%,43/100,2
241,Warner Bros.,7.1/10,52%,45/100,3
242,Safehouse Pictures,6.8/10,30%,4/100,1
243,Ritchie/Wigram Productions,6.8/10,30%,4/100,1
244,Twisted Pictures,6.2/10,28%,26/100,9
245,CBS Films,6.2/10,54%,35/100,3
246,Sparkle Roll Media,7.0/10,62%,55/100,1
247,Alloy Entertainment,6.4/10,58%,58/100,4
248,Acacia Entertainment,7.0/10,70%,64/100,2
249,Savvy Media Holdings,7.0/10,70%,64/100,2
250,Thunder Road Pictures,6.5/10,46%,46/100,10
251,Film 44,7.2/10,74%,43/100,4
252,Electric Entertainment,6.1/10,45%,24/100,6
253,Nickelodeon Movies,6.0/10,51%,41/100,20
254,Disruption Entertainment,6.0/10,32%,26/100,2
255,21 Laps Entertainment,6.3/10,47%,43/100,16
256,3Pas Studios,5.9/10,38%,54/100,1
257,Di Bonaventura Pictures,6.3/10,47%,43/100,10
258,Gold Star Films,5.9/10,37%,44/100,1
259,606 Films,5.9/10,37%,44/100,1
260,Lotus Entertainment,5.9/10,37%,44/100,1
261,Rumble Entertainment,5.9/10,37%,44/100,1
262,Well Go USA,5.9/10,37%,44/100,1
263,Lakeshore Entertainment,6.2/10,32%,33/100,38
264,Sketch Films,6.3/10,26%,35/100,3
265,LuckyChap Entertainment,7.6/10,90%,77/100,1
266,Clubhouse Pictures,7.6/10,90%,77/100,1
267,AI Film,7.2/10,88%,74/100,3
268,Waypoint Entertainment,7.3/10,82%,36/100,2
269,Le Grisbi Productions,6.6/10,80%,64/100,3
270,Bloom Media,7.3/10,73%,65/100,1
271,Ciwen Pictures,7.5/10,82%,7/100,1
272,Open Road Films,5.3/10,24%,37/100,2
273,ToonBox Entertainment,5.5/10,12%,36/100,2
274,Gulfstream Pictures,5.9/10,13%,25/100,3
275,Red Rover International,5.5/10,12%,36/100,2
276,Shanghai Hoongman,5.3/10,13%,36/100,1
277,Parkes + MacDonald Imagenation,4.5/10,7%,25/100,1
278,Black Bicycle Entertainment,5.7/10,32%,4/100,1
279,Waverly Films,6.5/10,49%,30/100,4
280,Constantin Film,6.0/10,30%,32/100,15
281,Davis Films,6.3/10,48%,39/100,11
282,Impact Pictures,6.0/10,28%,34/100,9
283,Imperative Entertainment,7.0/10,78%,72/100,1
284,Grade A Entertainment,7.6/10,73%,6/100,1
285,DayDay Films,7.6/10,73%,6/100,1
286,Ad Hominem Enterprises,6.6/10,79%,60/100,4
287,Los Angeles Media Fund,4.9/10,13%,24/100,3
288,Paulilu Productions,5.2/10,44%,5/100,1
289,Allspark Pictures,6.1/10,64%,52/100,2
290,DHX Media,6.2/10,47%,39/100,1
291,Rabbit Bandini Productions,7.6/10,91%,76/100,1
292,Annapurna Pictures,7.0/10,82%,54/100,14
293,Ghoulardi Film Company,7.2/10,80%,50/100,5
294,Riverstone Pictures,6.0/10,38%,45/100,2
295,Color Force,6.5/10,57%,51/100,7
296,Image Nation Abu Dhabi,6.6/10,50%,34/100,3
297,Playtone,6.5/10,57%,46/100,13
298,IM Global,5.9/10,45%,39/100,21
299,Arka Media Works,8.3/10,96%,N/A/100,2
300,Condé Nast Entertainment,7.7/10,87%,72/100,1
301,Frenesy Film Company,7.5/10,95%,87/100,3
302,La Cinéfacture,8.0/10,95%,93/100,2
303,RT Features,7.3/10,90%,84/100,6
304,M.Y.R.A. Entertainment,8.0/10,95%,93/100,2
305,Water's End Productions,8.0/10,95%,93/100,2
306,Protozoa Pictures,7.4/10,83%,63/100,6
307,Scion Films,7.1/10,61%,44/100,7
308,Electric City Entertainment,7.4/10,69%,50/100,4
309,Tollin Productions,7.0/10,61%,57/100,1
310,Rowe/Miller Productions,7.0/10,61%,57/100,1
311,The Montecito Picture Company,6.4/10,52%,37/100,15
312,Stonebridge Entertainment,5.2/10,5%,27/100,1
313,,6.4/10,52%,44/100,106
314,First Light Productions,7.5/10,91%,89/100,3
315,Page 1,7.4/10,84%,77/100,1
316,Triple Horse Studios,6.0/10,52%,5/100,1
317,Busted Shark Productions,5.0/10,16%,32/100,1
318,Animal Kingdom,7.1/10,95%,63/100,4
319,Disneynature,7.3/10,82%,52/100,5
320,Shanghai Media Group,7.2/10,83%,57/100,1
321,Chuan Films,7.2/10,83%,57/100,1
322,The Combine,7.1/10,80%,36/100,2
323,Faliro House Productions S.A.,7.2/10,83%,66/100,1
324,Decibel Films,7.1/10,80%,57/100,4
325,Cloud Eight Films,7.2/10,85%,66/100,6
326,Awesomeness Films,6.4/10,63%,58/100,1
327,Jon Shestack Productions,6.2/10,48%,46/100,2
328,Macro Media,6.8/10,72%,68/100,2
329,Topic Studios,6.4/10,51%,58/100,1
330,Bron Creative,6.8/10,72%,68/100,2
331,The Culture China/Image Nation Abu Dhabi Content Fund,6.4/10,51%,58/100,1
332,Escape Artists,6.5/10,43%,41/100,11
333,Di Novi Pictures,6.1/10,37%,46/100,13
334,American Zoetrope,6.5/10,65%,57/100,11
335,FR Productions,6.4/10,78%,77/100,1
336,Troll Court Entertainment,6.0/10,52%,44/100,1
337,Starlight Media,7.2/10,N/A%,66/100,1
338,Chestnut Ridge Productions,7.2/10,N/A%,66/100,1
339,Hudlin Entertainment,7.2/10,N/A%,66/100,1
340,Rahway Road Productions,6.5/10,77%,68/100,1
341,Mandoo Pictures,5.9/10,N/A%,48/100,1
342,Huayi Tencent Entertainment Company,5.9/10,N/A%,48/100,1
343,Eracme Entertainment,5.9/10,N/A%,48/100,1
344,Dream Factory Group,5.9/10,N/A%,48/100,1
345,Plan B Entertainment,7.0/10,72%,55/100,21
346,Keep Your Head Productions,6.6/10,77%,68/100,2
347,MICA Entertainment,6.7/10,77%,50/100,3
348,MadRiver Pictures,6.2/10,61%,58/100,3
349,Survival Pictures,6.4/10,50%,N/A/100,1
350,Phoenix Pictures,6.5/10,47%,39/100,15
351,Blind Wink Productions,6.8/10,64%,61/100,2
352,New Regency Productions,6.4/10,48%,44/100,5
353,Southpaw Entertainment,7.0/10,26%,36/100,2
354,Scarlet Fire Entertainment,6.4/10,16%,33/100,1
355,Virgin Produced,6.3/10,43%,38/100,7
356,LTBL Productions,4.9/10,100%,N/A/100,1
357,Wildfire Films,4.9/10,100%,N/A/100,1
358,Boies/Schiller Films,6.7/10,42%,49/100,1
359,Black Bear Pictures,6.7/10,64%,60/100,5
360,Highway 61 Films,6.8/10,39%,46/100,3
361,Velvet Film,7.8/10,98%,95/100,1
362,Artemis Productions,7.4/10,83%,80/100,2
363,Close Up Films,7.8/10,98%,95/100,1
364,Killer Films,6.7/10,76%,66/100,12
365,Bron Studios,5.8/10,74%,58/100,2
366,Groundswell Productions,6.6/10,63%,48/100,8
367,Kylin Pictures,5.3/10,25%,35/100,1
368,Anomaly Entertainment,5.3/10,25%,35/100,1
369,BreakThru Productions,7.9/10,84%,62/100,1
370,Trademark Films,7.3/10,82%,63/100,3
371,Paramount Pictures,6.4/10,43%,44/100,7
372,Brian Grazer Productions,5.6/10,55%,57/100,1
373,Telemundo,5.6/10,55%,57/100,1
374,Rink Rat Productions,7.7/10,89%,65/100,1
375,Screen Door,7.7/10,89%,65/100,1
376,Parallel Films,7.3/10,84%,36/100,2
377,Entertainment One,5.1/10,32%,30/100,10
378,Cre Film,7.7/10,96%,92/100,1
379,Freestyle Picture Company,7.7/10,96%,92/100,1
380,Cinereach,7.5/10,91%,89/100,2
381,Autumn Pictures,5.8/10,94%,63/100,1
382,Silver Pictures,6.4/10,43%,43/100,22
383,Smoke House Pictures,6.0/10,57%,48/100,2
384,Rhombus Media,7.0/10,77%,6/100,2
385,Corner Piece Capital,5.7/10,45%,48/100,1
386,Lifetime Films,5.7/10,45%,48/100,1
387,Protagonist Pictures,6.3/10,67%,62/100,3
388,Tohokushinsha Film,5.7/10,52%,57/100,2
389,A+E Studios,5.7/10,45%,48/100,1
390,Yash Raj Films,6.8/10,86%,36/100,9
391,Sidney Kimmel Entertainment,6.7/10,55%,38/100,21
392,Double Nickel Entertainment,7.3/10,50%,38/100,2
393,Bold Films,7.0/10,68%,56/100,8
394,Nine Stories Productions,7.0/10,91%,76/100,1
395,Northern Lights,6.5/10,78%,6/100,1
396,Park Pictures,6.8/10,82%,46/100,3
397,Houston King Productions,6.5/10,78%,6/100,1
398,Diablo Entertainment,5.9/10,74%,62/100,1
399,BBC Films,7.0/10,75%,58/100,56
400,Ingenious Media,7.0/10,73%,58/100,18
401,Pathé,6.9/10,73%,49/100,19
402,Wiedemann & Berg Film,5.3/10,14%,3/100,1
403,SevenPictures Film,5.3/10,14%,3/100,1
404,Two Oceans Productions,5.3/10,14%,3/100,1
405,3311 Productions,6.2/10,59%,42/100,2
406,Welsh Government,6.8/10,90%,76/100,1
407,Pinewood Pictures,6.9/10,75%,65/100,3
408,HanWay Films,7.0/10,77%,64/100,12
409,Wildgaze Films,7.2/10,94%,83/100,3
410,Number 9 Films,7.1/10,84%,75/100,4
411,Film i Väst,6.9/10,77%,48/100,7
412,Filmgate Films,6.8/10,90%,76/100,1
413,Ripken Productions,6.8/10,90%,76/100,1
414,Cinelou Films,5.8/10,39%,29/100,3
415,Actual Films,6.0/10,80%,68/100,1
416,Footage Films,6.4/10,N/A%,N/A/100,1
417,51 Millimeters,6.4/10,N/A%,N/A/100,1
418,Red Chillies Entertainment,6.6/10,67%,26/100,8
419,Excel Entertainment,7.2/10,70%,48/100,7
420,Route One Entertainment,6.2/10,80%,7/100,1
421,Union Investment Partners,6.2/10,80%,7/100,1
422,Sayaka Producciones,6.2/10,80%,7/100,1
423,Brightlight Pictures,4.1/10,19%,6/100,5
424,141 Entertainment,6.7/10,85%,7/100,1
425,Mighty Engine,6.7/10,85%,7/100,1
426,Termite Films,7.7/10,N/A%,78/100,1
427,Deng Feng International Media,6.3/10,70%,44/100,1
428,Bona Films,6.3/10,70%,44/100,1
429,Beijing Culture,6.3/10,70%,44/100,1
430,Free Range Films,6.1/10,67%,64/100,3
431,Indiana Production Company,6.5/10,N/A%,46/100,1
432,Rai Cinema,6.5/10,N/A%,46/100,1
433,Silver Lining Entertainment,4.8/10,40%,N/A/100,1
434,Castle Rock Entertainment,6.3/10,49%,37/100,27
435,Worldview Entertainment,6.1/10,54%,40/100,9
436,Ruby Films,7.0/10,61%,62/100,4
437,Memento Films Production,7.8/10,94%,85/100,2
438,Asghar Farhadi Production,7.8/10,96%,85/100,1
439,Arte France Cinéma,7.0/10,91%,83/100,4
440,Film4,7.0/10,82%,69/100,21
441,Creative Scotland,7.1/10,85%,52/100,3
442,Vertical Church Films,6.2/10,N/A%,36/100,1
443,Power in Faith,6.2/10,N/A%,36/100,1
444,New Sparta Films,6.9/10,74%,66/100,2
445,Bord Scannán na hÉireann/The Irish Film Board,7.0/10,79%,73/100,1
446,Element Pictures,7.5/10,89%,79/100,3
447,Limp,7.0/10,79%,73/100,1
448,Sycamore Pictures,6.8/10,58%,54/100,4
449,Hands-on Producers GmbH,5.7/10,23%,33/100,1
450,42,5.7/10,23%,33/100,1
451,Automatik,5.8/10,32%,29/100,3
452,Elara Pictures,7.3/10,92%,8/100,1
453,Rhea Films,7.3/10,92%,8/100,1
454,Dharma Productions,7.0/10,84%,35/100,14
455,Realies Pictures,7.4/10,50%,N/A/100,1
456,Dexter Studios,7.4/10,50%,N/A/100,1
457,Hurricane Films,6.6/10,91%,77/100,1
458,Gibson & MacLeod Indomitable Entertainment,6.6/10,91%,77/100,1
459,WeatherVane Productions,6.2/10,66%,63/100,2
460,Potemkino,6.6/10,91%,77/100,1
461,KriArj Entertainment,7.2/10,33%,N/A/100,2
462,Friday Filmworks,7.4/10,N/A%,N/A/100,1
463,Plan C Studios,7.2/10,33%,N/A/100,2
464,Cape of Good Films LLP,7.4/10,N/A%,N/A/100,1
465,T SERIES,6.2/10,66%,57/100,1
466,Picrow,6.2/10,67%,32/100,2
467,Amazon Studios,6.0/10,74%,67/100,2
468,BFI,6.9/10,79%,69/100,6
469,Rook Films,6.4/10,68%,63/100,1
470,Wondros,6.6/10,37%,4/100,1
471,Myriad Pictures,6.8/10,61%,32/100,4
472,Aaron Magnani Productions,6.6/10,37%,4/100,1
473,DJ Films,6.9/10,66%,57/100,3
474,Gasworks Media,7.0/10,64%,54/100,1
475,National Geographic Studios,7.9/10,N/A%,87/100,1
476,Public Road Productions,7.9/10,N/A%,87/100,1
477,Fox Star Studios,7.6/10,75%,N/A/100,3
478,StarStream Media,5.8/10,78%,69/100,1
479,Bow and Arrow Entertainment,5.8/10,78%,69/100,1
480,Destro Films,5.8/10,78%,69/100,1
481,Dublab Media,5.8/10,78%,69/100,1
482,Productivity Media,5.8/10,78%,69/100,1
483,Concourse Media,5.8/10,78%,69/100,1
484,Exhibit Entertainment,5.8/10,78%,69/100,1
485,Foton Pictures,5.8/10,78%,69/100,1
486,Sailor Bear,6.9/10,91%,84/100,1
487,Zero Trans Fat Productions,6.9/10,91%,84/100,1
488,Ideaman Studios,6.9/10,91%,84/100,1
489,Scared Sheetless,6.9/10,91%,84/100,1
490,Boxspring Entertainment,7.0/10,87%,68/100,1
491,Topple Productions,7.0/10,87%,68/100,1
492,The Lamp,7.9/10,95%,69/100,1
493,Plattform Produktion,7.3/10,88%,73/100,2
494,Coproduction Office,7.3/10,88%,73/100,2
495,Norma Productions,6.6/10,N/A%,72/100,1
496,Gravier Productions,6.8/10,56%,42/100,8
497,Perdido Productions,6.8/10,53%,55/100,5
498,Ibid Filmworks,6.5/10,83%,68/100,1
499,Aperture Entertainment,6.5/10,83%,68/100,1
500,Attic Light Films,6.5/10,83%,36/100,2
501,ChubbCo Film,4.5/10,45%,57/100,1
502,Code Red,4.5/10,45%,57/100,1
503,Blackbird,4.5/10,45%,57/100,1
504,CG Cinéma,6.5/10,84%,78/100,2
505,Vortex Sutra,6.5/10,84%,78/100,2
506,Detailfilm,6.2/10,80%,77/100,1
507,Sirena Film,6.9/10,84%,75/100,2
508,Arte Deutschland/WDR,6.2/10,80%,77/100,1
509,Silver Reel,5.9/10,27%,40/100,6
510,Salon Pictures,6.5/10,49%,44/100,1
511,Embankment Films,6.5/10,49%,44/100,1
512,Origin Pictures,6.7/10,68%,6/100,2
513,Greenlight Productions,4.0/10,N/A%,N/A/100,1
514,Neverending Media,4.8/10,13%,N/A/100,2
515,BoBo Producciones,4.0/10,N/A%,N/A/100,1
516,Credix,4.0/10,N/A%,N/A/100,1
517,Cutting Edge,4.0/10,N/A%,N/A/100,1
518,EFICINE.,4.0/10,N/A%,N/A/100,1
519,Imani Films,4.9/10,N/A%,N/A/100,1
520,Revolution Films,7.0/10,85%,64/100,6
521,Stick Figure Productions,6.8/10,95%,8/100,1
522,Creative England,7.0/10,93%,85/100,2
523,iFeatures,6.9/10,89%,76/100,1
524,Sixty Six Pictures,6.9/10,89%,76/100,1
525,Bend It Films,6.7/10,78%,60/100,2
526,Filmmaker R & K,7.0/10,55%,6/100,1
527,Cinetic Media,7.1/10,82%,7/100,3
528,Depth of Field,6.6/10,72%,67/100,6
529,Nonetheless Productions,7.3/10,98%,89/100,1
530,Superlative Films,7.3/10,98%,89/100,1
531,Rohit Shetty Productions,5.3/10,40%,N/A/100,3
532,Mangal Murti Films,5.0/10,60%,N/A/100,1
533,Fairview Entertainment,7.4/10,87%,70/100,4
