ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
1577,Nikkhil Advani,6.6/10,71%,54/100,2
1578,Ken Loach,7.5/10,88%,82/100,1
1579,Patrice Leconte,7.2/10,86%,56/100,4
1580,Nacho Cerdà,5.6/10,38%,42/100,1
1581,Vidhu Vinod Chopra,6.2/10,86%,69/100,1
1582,Wayne Beach,5.9/10,12%,34/100,1
1583,Vipul Amrutlal Shah,7.3/10,N/A%,N/A/100,1
1584,David Mickey Evans,6.7/10,26%,43/100,1
1585,David Sington,8.0/10,95%,84/100,1
1586,Shimit Amin,8.2/10,92%,68/100,1
1587,François Girard,5.9/10,7%,39/100,1
1588,Priyadarshan,7.0/10,N/A%,N/A/100,2
1589,Christopher Cain,5.7/10,13%,25/100,1
1590,Gabriel Pelletier,5.5/10,N/A%,N/A/100,1
1591,James Isaac,4.5/10,16%,29/100,2
1592,Robby Henson,5.0/10,5%,34/100,1
1593,Milos Forman,6.9/10,30%,52/100,1
1594, Joe Ranf,7.2/10,74%,73/100,1
1595, Warren Coleman,6.5/10,75%,77/100,1
1596, Judy Morris,6.5/10,75%,77/100,1
1597, Karey Kirkpatrick,6.7/10,75%,67/100,1
1598,Roger Allers,6.2/10,48%,49/100,1
1599, Jill Culton,6.2/10,48%,49/100,1
1600, Anthony Stacch,6.5/10,62%,28/100,2
1601,Frank Marshall,7.3/10,72%,64/100,1
1602,Stefen Fangmeier,5.0/10,N/A%,38/100,1
1603,Jeff Tremaine,6.8/10,56%,54/100,2
1604,Wolfgang Petersen,6.4/10,44%,40/100,3
1605,Robert De Niro,6.7/10,53%,6/100,1
1606,Esben Tønnesen,7.8/10,12%,N/A/100,1
1607,Matthew O'Callaghan,6.5/10,69%,62/100,1
1608,Andrew Davis,6.5/10,45%,31/100,3
1609,Alejandro Agresti,6.8/10,35%,52/100,1
1610,Aaron Seltzer,2.4/10,3%,7/100,5
1611, Jason Friedberg,2.8/10,7%,N/A/100,1
1612,Christophe Gans,6.8/10,51%,30/100,2
1613,James Gartner,7.2/10,N/A%,58/100,1
1614,Takashi Shimizu,5.5/10,25%,41/100,2
1615,Phil Joanou,6.9/10,43%,52/100,1
1616,Steve 'Spaz' Williams,5.3/10,20%,47/100,1
1617,Richard Donner,6.1/10,34%,46/100,2
1618,Clark Johnson,6.0/10,40%,47/100,2
1619,Liz Friedlander,6.7/10,44%,55/100,1
1620,Greg Coolidge,5.5/10,20%,36/100,1
1621,John A. Davis,6.0/10,69%,62/100,2
1622,Jessica Bendinger,6.4/10,30%,53/100,1
1623,Stanley J. Orzel,6.8/10,N/A%,N/A/100,1
1624,Brian De Palma,5.8/10,40%,47/100,3
1625,Vondie Curtis-Hall,4.1/10,17%,20/100,2
1626,Chris Robinson,6.0/10,62%,63/100,1
1627,Michael Mayer,6.5/10,52%,58/100,2
1628,Robert Altman,6.8/10,79%,52/100,3
1629,Jim Sonzero,4.7/10,11%,27/100,1
1630,Doug Atchison,7.4/10,84%,72/100,1
1631,John Bonito,4.7/10,20%,45/100,1
1632,Kurt Wimmer,6.0/10,24%,20/100,2
1633,Richard Eyre,7.2/10,83%,74/100,2
1634,Glen Morgan,5.4/10,64%,14/100,2
1635,Trent Cooper,3.2/10,5%,2/100,1
1636,Gregory Dark,5.0/10,8%,7/100,1
1637,Veith von Fürstenberg,6.6/10,N/A%,N/A/100,1
1638,Colin Brady,5.8/10,41%,5/100,1
1639, Christopher Reeve,5.8/10,41%,5/100,1
1640,Tony Bill,6.5/10,34%,47/100,1
1641,Bob Dolman,5.5/10,53%,52/100,2
1642,Erik Canuel,6.7/10,78%,N/A/100,2
1643,Bryan Barber,6.2/10,47%,55/100,1
1644,Joe Roth,5.3/10,20%,36/100,3
1645,Chris R. Notarile,7.0/10,N/A%,N/A/100,1
1646,Peter Hewitt,4.3/10,3%,26/100,1
1647,Jim Hanon,7.0/10,40%,45/100,1
1648,Martha Coolidge,4.9/10,16%,27/100,2
1649,Liam Lynch,6.7/10,59%,59/100,2
1650,Wil Shriner,5.6/10,26%,46/100,1
1651,Patrick Stettner,6.2/10,60%,36/100,2
1652,Dave Borthwick,2.8/10,8%,23/100,1
1653, Jean Duval,2.8/10,8%,23/100,1
1654, Frank Passingham,2.8/10,8%,23/100,1
1655,Steven Zaillian,6.2/10,N/A%,37/100,1
1656,Nnegest Likké,3.0/10,23%,36/100,1
1657,John Stockwell,5.8/10,34%,23/100,4
1658,Wayne Kramer,7.2/10,59%,36/100,2
1659,Nicholaus Goossen,7.0/10,16%,33/100,1
1660,Michael Caton-Jones,5.2/10,27%,16/100,2
1661,Christopher Guest,7.0/10,77%,51/100,3
1662,Todd Field,7.5/10,86%,80/100,2
1663,Bob Odenkirk,5.2/10,8%,18/100,2
1664,Scott Marshall,5.4/10,37%,57/100,1
1665,Danny Cannon,6.7/10,44%,53/100,1
1666,Mike Clattenburg,7.3/10,57%,38/100,1
1667,Terry Zwigoff,6.9/10,69%,50/100,3
1668,Deepa Mehta,6.9/10,66%,56/100,2
1669,Susan Seidelman,6.5/10,60%,6/100,1
1670,Patrick Creadon,7.4/10,95%,73/100,1
1671,Chris Noonan,7.0/10,66%,57/100,1
1672,Ryan Fleck,7.1/10,83%,78/100,4
1673,Sanjay Gadhvi,6.4/10,90%,N/A/100,1
1674,Andy Garcia,6.7/10,25%,47/100,1
1675,Kunal Kohli,7.2/10,100%,N/A/100,1
1676,Paul Dinello,6.0/10,52%,57/100,1
1677,Ali Selim,7.3/10,85%,75/100,1
1678,Sergio Carvajal,N/A/10,N/A%,N/A/100,1
1679, Ruwan Perera,N/A/10,N/A%,N/A/100,1
1680,Chris Paine,7.7/10,89%,7/100,1
1681,Niall Johnson,6.8/10,56%,53/100,1
1682,Bart Freundlich,5.5/10,20%,38/100,2
1683,Eugene Jarecki,8.0/10,79%,68/100,1
1684,Mary Harron,7.1/10,62%,64/100,2
1685,Yves-André Hubert,7.9/10,N/A%,N/A/100,1
1686,Sterling Van Wagenen,6.6/10,62%,N/A/100,2
1687,Victor Salva,6.7/10,35%,26/100,2
1688,Lian Lunson,6.9/10,69%,68/100,1
1689,George Lucas,7.1/10,72%,61/100,2
1690,Mark Dindal,6.5/10,61%,28/100,2
1691, Carlos Saldanha,6.9/10,70%,35/100,2
1692,Luc Jacquet,7.6/10,94%,79/100,1
1693,Hideo Nakata,5.4/10,19%,44/100,1
1694,Sydney Pollack,6.4/10,56%,62/100,1
1695,Kevin Rodney Sullivan,5.8/10,56%,54/100,2
1696,Andrew Douglas,6.0/10,24%,33/100,1
1697,Nora Ephron,4.9/10,24%,18/100,2
1698,Geoffrey Sax,5.5/10,8%,3/100,1
1699,Jacob Sager Weinstein,7.0/10,N/A%,N/A/100,1
1700,Melville Shavelson,7.2/10,50%,N/A/100,1
1701,John Polson,5.5/10,14%,32/100,2
1702,John Pasquin,5.2/10,28%,38/100,2
1703,Stephen Kay,4.6/10,12%,28/100,2
1704,Gary David Goldberg,5.9/10,35%,46/100,1
1705,Robert Z. Leonard,7.4/10,100%,N/A/100,1
1706,Barry W. Blaustein,5.8/10,40%,46/100,1
1707,Florent-Emilio Siri,6.6/10,35%,44/100,1
1708,John Gatins,6.9/10,64%,59/100,1
1709,Clare Kilner,5.8/10,20%,38/100,2
1710,Rupert Wainwright,3.6/10,4%,27/100,1
1711,Walter Salles,6.9/10,73%,64/100,3
1712,Rob Bowman,5.5/10,25%,36/100,2
1713,Tim Fywell,6.5/10,66%,59/100,2
1714,Mike Bigelow,4.6/10,9%,23/100,1
1715,Charlie Clark,N/A/10,N/A%,N/A/100,1
1716,Jean-François Richet,6.3/10,60%,54/100,1
1717,Stephen Herek,5.8/10,18%,31/100,3
1718,Gary Chapman,5.6/10,32%,45/100,1
1719,Mel Brooks,7.7/10,91%,97/100,1
1720,Frank Nissen,6.4/10,79%,64/100,1
1721,Stephen Chow,7.8/10,90%,78/100,1
1722,Lawrence Guterman,2.2/10,6%,2/100,1
1723,Mark Rosman,5.7/10,8%,26/100,2
1724,Rob McKittrick,6.8/10,31%,3/100,1
1725,Rob Hardy,4.2/10,32%,46/100,2
1726,Bill Paxton,7.4/10,68%,60/100,2
1727,Bruce Hunt,5.0/10,11%,3/100,1
1728,Richard Shepard,6.8/10,75%,65/100,1
1729,Ron Underwood,3.2/10,9%,2/100,2
1730,Duncan Tucker,7.4/10,77%,66/100,1
1731,Marilyn Agrelo,7.5/10,84%,7/100,1
1732,Charles Dance,7.0/10,63%,6/100,1
1733,Albert Sharpe,6.5/10,N/A%,N/A/100,1
1734,Paul Provenza,6.4/10,N/A%,72/100,1
1735,John Maybury,7.0/10,44%,44/100,1
1736,Marcos Siega,4.0/10,6%,9/100,1
1737,Laurence Dunmore,6.4/10,33%,44/100,1
1738,Prachya Pinkaew,7.2/10,86%,69/100,1
1739,Alex Gibney,7.7/10,97%,N/A/100,1
1740,Jeffrey W. Byrd,4.2/10,2%,N/A/100,1
1741,Miranda July,7.3/10,82%,76/100,1
1742,David LaChapelle,7.0/10,84%,74/100,1
1743,Steve Boyum,4.0/10,5%,26/100,1
1744,Judy Irving,7.9/10,95%,8/100,1
1745,Staffan Hildebrand,5.3/10,N/A%,N/A/100,1
1746,Eytan Fox,7.4/10,72%,65/100,1
1747,Phil Morrison,7.0/10,86%,8/100,1
1748,Peter Hyams,4.5/10,8%,26/100,2
1749,Agnès Jaoui,6.9/10,87%,79/100,1
1750,Dan Ireland,7.6/10,70%,67/100,1
1751,Liev Schreiber,7.5/10,66%,58/100,1
1752,James Ivory,6.3/10,51%,34/100,2
1753,Christophe Barratier,7.9/10,69%,56/100,1
1754, Dana Adam Shapiro,7.8/10,98%,87/100,1
1755,Amol Palekar,6.7/10,67%,N/A/100,1
1756,Gidi Dar,7.4/10,94%,7/100,1
1757,Shona Auerbach,7.8/10,81%,63/100,1
1758,Campbell Scott,7.2/10,70%,68/100,1
1759,Don Roos,6.1/10,53%,54/100,2
1760,Agustin,6.7/10,N/A%,N/A/100,1
1761,Stephen Deutsch,4.9/10,N/A%,N/A/100,1
1762,Alice Wu,7.5/10,86%,65/100,1
1763,Chris Terrio,7.0/10,64%,59/100,1
1764,Meiert Avis,4.2/10,8%,29/100,1
1765, Kelly Asbury,7.2/10,88%,75/100,1
1766,Bibo Bergeron,6.5/10,42%,26/100,2
1767, Vicky Jenson,7.0/10,62%,66/100,2
1768, Rob Letterman,6.0/10,35%,48/100,1
1769,Stephen Hillenburg,7.0/10,69%,66/100,1
1770, Mark Osborne,7.0/10,69%,66/100,1
1771,Jay Russell,6.7/10,58%,40/100,3
1772,Keenen Ivory Wayans,5.7/10,28%,27/100,3
1773,Joseph Ruben,5.8/10,31%,43/100,1
1774,Eric Bress,7.7/10,33%,3/100,1
1775, J. Mackye Gruber,7.7/10,33%,3/100,1
1776,Alexander Witt,6.2/10,21%,35/100,1
1777, John Sanford,5.4/10,54%,5/100,1
1778,Joel Zwick,5.4/10,50%,50/100,2
1779,Kevin Bray,6.0/10,28%,39/100,2
1780,Chris Stokes,3.6/10,N/A%,37/100,1
1781,Beeban Kidron,6.0/10,26%,44/100,1
1782,Pitof,3.3/10,9%,27/100,1
1783,Kerry Conran,6.0/10,71%,64/100,1
1784,Gérard Pirès,7.0/10,N/A%,N/A/100,1
1785,Trey Parker,7.2/10,77%,64/100,1
1786,Dwight H. Little,4.6/10,25%,4/100,1
1787,Christopher Erskin,4.4/10,6%,29/100,1
1788,Sara Sugarman,4.6/10,13%,33/100,1
1789,Philip Kaufman,6.2/10,38%,16/100,2
1790,Kevin Allen,4.5/10,13%,32/100,1
1791,Terry George,8.0/10,91%,79/100,1
1792,Tommy O'Haver,6.0/10,47%,52/100,2
1793,Jaume Balagueró,5.4/10,4%,5/100,1
1794,Charles Stone III,6.1/10,63%,56/100,3
1795,Joseph Kahn,4.0/10,22%,4/100,1
1796,Nick Hurran,5.3/10,21%,36/100,1
1797,Jean-Jacques Annaud,7.3/10,66%,58/100,2
1798,Peter Howitt,6.0/10,25%,15/100,3
1799,Jeff Schaffer,6.6/10,N/A%,45/100,1
1800, Alec Berg,6.6/10,N/A%,45/100,1
1801, David Mandel,6.6/10,N/A%,45/100,1
1802,Cheryl Dunye,4.5/10,4%,23/100,1
1803,Don Mancini,4.9/10,32%,46/100,1
1804,Paul Abascal,5.8/10,18%,38/100,1
1805,Nick Hamm,4.8/10,4%,24/100,1
1806,Jessy Terrero,4.4/10,18%,33/100,1
1807,Guy Ferland,6.0/10,23%,39/100,1
1808,Dennie Gordon,5.4/10,11%,18/100,2
1809,Irwin Winkler,7.0/10,48%,49/100,2
1810,Charles Shyer,6.2/10,49%,49/100,1
1811,Daniel Taplitz,5.5/10,31%,46/100,1
1812,Andy Cadiff,6.0/10,N/A%,46/100,1
1813,Forest Whitaker,5.0/10,8%,3/100,1
1814,Brian Dannelly,6.8/10,60%,62/100,1
1815,E. Elias Merhige,6.4/10,50%,22/100,2
1816,István Szabó,7.0/10,76%,65/100,1
1817,Jonathan Frakes,4.7/10,24%,20/100,2
1818,Michael Schultz,6.8/10,50%,55/100,1
1819,Joshua Marston,6.9/10,66%,68/100,2
1820,George Seaton,7.0/10,83%,N/A/100,1
1821,George Armitage,4.9/10,16%,42/100,1
1822,Kevin Spacey,6.7/10,42%,46/100,1
1823,Charles S. Dutton,5.3/10,12%,36/100,1
1824,Pieter Jan Brugge,5.9/10,43%,6/100,1
1825,Ernest R. Dickerson,4.8/10,24%,40/100,2
1826,Jonathan Glazer,6.7/10,62%,42/100,2
1827,Sergio Arau,4.7/10,27%,3/100,1
1828,Wolfgang Becker,7.7/10,90%,68/100,1
1829,André Ducharme,5.8/10,N/A%,N/A/100,1
1830, Guy A. Lepage,5.8/10,N/A%,N/A/100,1
1831, Sylvain Roy,5.8/10,N/A%,N/A/100,1
1832,Joe Camp,4.6/10,33%,49/100,1
1833,Zana Briski,7.4/10,95%,78/100,1
1834, Ross Kauffman,7.4/10,95%,78/100,1
1835,Russell Holt,6.9/10,17%,N/A/100,1
1836,Robert C. Ramirez,5.5/10,53%,49/100,1
1837,Rowdy Herrington,6.7/10,26%,45/100,1
1838,Leonardo Defilippis,6.4/10,11%,27/100,1
1839,Jehane Noujaim,7.4/10,94%,77/100,2
1840,Bernardo Bertolucci,7.2/10,61%,62/100,1
1841,Ki-duk Kim,8.0/10,94%,85/100,1
1842,Jean-Paul Rappeneau,6.9/10,76%,68/100,1
1843,Stacy Peralta,7.8/10,92%,42/100,2
1844,Claude Desrosiers,7.0/10,N/A%,N/A/100,1
1845,Alejandro Amenábar,7.8/10,84%,74/100,2
1846,Mark Achbar,8.0/10,90%,73/100,1
1847, Jennifer Abb,8.0/10,90%,73/100,1
1848,Byambasuren Davaa,7.5/10,94%,8/100,1
1849, Luigi Falorni,7.5/10,94%,8/100,1
1850,Léa Pool,6.3/10,44%,N/A/100,1
1851,Gabriele Salvatores,7.5/10,90%,73/100,1
1852,Olivier Julien,6.9/10,N/A%,N/A/100,1
1853, Brian McKenna,6.9/10,N/A%,N/A/100,1
1854,Nicole Kassell,7.2/10,88%,72/100,1
1855,Pierre Houle,6.7/10,N/A%,N/A/100,1
1856,John Waters,5.6/10,53%,56/100,2
1857,Ryan Little,6.8/10,66%,56/100,1
1858,Siddiq Barmak,7.4/10,96%,83/100,1
1859,Mark Griffiths,5.6/10,0%,N/A/100,1
1860,Joe Berlinger,5.8/10,52%,40/100,2
1861, Bruce Sinofsky,7.5/10,89%,74/100,1
1862,Bob Smeaton,7.6/10,96%,85/100,1
1863, Frank Cvitanovich,7.6/10,96%,85/100,1
1864,Denise Filiatrault,6.0/10,N/A%,N/A/100,2
1865,Scott S. Anderson,7.5/10,73%,N/A/100,1
1866,Yves Pelletier,6.8/10,N/A%,N/A/100,1
1867,Elliot Berlin,7.4/10,72%,64/100,1
1868, Joe Fab,7.4/10,72%,64/100,1
1869,Hugo Rodríguez,6.7/10,45%,49/100,1
1870,Je-kyu Kang,8.0/10,79%,64/100,1
1871,Mamoru Oshii,7.6/10,64%,66/100,1
1872,John Sayles,6.5/10,64%,58/100,2
1873, Lee Unkrich,8.0/10,98%,44/100,2
1874,Josh Oreck,5.8/10,N/A%,N/A/100,1
1875,Jesse Dylan,6.3/10,40%,36/100,2
1876,Bo Welch,3.8/10,10%,9/100,1
1877,Anthony Minghella,7.2/10,71%,73/100,1
1878,Aaron Blaise,6.8/10,38%,48/100,1
1879, Robert Walker,6.8/10,38%,48/100,1
1880,David McNally,5.0/10,23%,16/100,2
1881,Stephen Norrington,5.8/10,17%,3/100,1
1882,Jan de Bont,5.5/10,25%,43/100,1
1883,Kevin Costner,7.5/10,80%,67/100,1
1884,John Woo,6.1/10,30%,36/100,3
1885,Michael Tollin,6.0/10,22%,20/100,2
1886,Clyde Geronimi,7.3/10,76%,N/A/100,1
1887, Wilfred Jackson,7.4/10,88%,N/A/100,2
1888, Hamilton Luske,7.4/10,88%,N/A/100,2
1889, Jack Kinney,7.4/10,88%,N/A/100,2
1890,Steve Trenbirth,5.4/10,19%,38/100,1
1891,Audrey Wells,6.8/10,62%,52/100,1
1892,Jim Fall,5.4/10,41%,56/100,1
1893,Tim McCanlies,7.6/10,59%,52/100,1
1894,John Eng,5.6/10,40%,38/100,1
1895, Norton Virgien,5.6/10,40%,38/100,1
1896,John Hoffman,5.0/10,44%,49/100,1
1897,Greg Carson,6.7/10,N/A%,N/A/100,1
1898,Joel Coen,7.1/10,83%,54/100,11
1899,Lawrence Kasdan,5.5/10,30%,35/100,1
1900,Jon Amiel,5.5/10,40%,48/100,1
1901,Jonathan Lynn,6.1/10,44%,50/100,2
1902,John McTiernan,4.8/10,12%,19/100,2
1903,Patrick Gilmore,6.7/10,45%,48/100,1
1904, Tim Johnson,6.7/10,45%,48/100,1
1905,Troy Miller,3.4/10,10%,9/100,1
1906,Paul Hunter,5.5/10,23%,4/100,1
1907,Francis Glebas,6.0/10,71%,62/100,1
1908,Sam Weisman,5.5/10,16%,36/100,2
1909,Gordon Chan,5.2/10,18%,38/100,1
1910,Reggie Rock Bythewood,4.6/10,23%,36/100,1
1911,Troy Byer,5.0/10,13%,37/100,1
1912,Mike Figgis,4.9/10,12%,37/100,1
1913,Joe Dante,5.7/10,56%,64/100,1
1914,Alan Parker,7.6/10,19%,3/100,1
1915,Gary Hardwick,6.2/10,54%,26/100,2
1916,Bruno Barreto,5.8/10,44%,42/100,2
1917,Chris Koch,5.3/10,26%,30/100,2
1918,Rob Schmidt,6.0/10,41%,32/100,1
1919,Vadim Perelman,7.6/10,74%,7/100,1
1920,Ron Maxwell,6.3/10,8%,3/100,1
1921, Michel Debats,7.8/10,92%,78/100,2
1922,Danny DeVito,6.2/10,38%,22/100,2
1923,Manouchka Kelly Labouba,6.6/10,N/A%,N/A/100,1
1924,Mort Nathan,4.9/10,7%,8/100,1
1925,Lauren Lazin,8.0/10,78%,66/100,1
1926, Kátia Lun,8.6/10,91%,79/100,1
1927,Caroline Link,7.7/10,85%,72/100,1
1928,Linda Mendoza,4.8/10,14%,33/100,1
1929,Martin Brest,2.4/10,N/A%,8/100,1
1930,Eric Till,6.6/10,45%,47/100,1
1931,Robert Iscove,3.7/10,10%,16/100,2
1932,Peter Mullan,7.8/10,91%,83/100,1
1933,Les Norris,5.9/10,N/A%,N/A/100,1
1934,David Batty,7.8/10,N/A%,N/A/100,1
1935,Rick de Oliveira,2.7/10,35%,34/100,1
1936,Alan Rudolph,6.5/10,85%,76/100,1
1937,Dana Brown,7.5/10,82%,72/100,1
1938,Denys Arcand,7.7/10,81%,7/100,1
1939,Émile Gaudreault,6.5/10,33%,4/100,2
1940,Andrew Jarecki,7.8/10,97%,9/100,1
1941,Daisy von Scherler Mayer,5.4/10,57%,47/100,1
1942,François Dupeyron,7.5/10,85%,69/100,1
1943,Nathaniel Kahn,7.4/10,93%,8/100,1
1944,John Malkovich,7.0/10,64%,64/100,1
1945,George Gallo,6.0/10,28%,15/100,2
1946,Éric Tessier,6.5/10,N/A%,N/A/100,1
1947,Steven Ramirez,6.4/10,13%,N/A/100,1
1948,Gary Rogers,3.2/10,17%,N/A/100,1
1949,Richard Benjamin,2.8/10,9%,2/100,1
1950,Don Coscarelli,7.0/10,79%,57/100,1
1951,Lukas Moodysson,7.5/10,90%,84/100,1
1952,Kurt Hale,6.2/10,57%,N/A/100,2
1953,Emanuele Crialese,7.0/10,76%,65/100,1
1954,James Cox,6.6/10,33%,43/100,1
1955,Ravi Chopra,7.5/10,N/A%,N/A/100,1
1956,Robert Duvall,5.9/10,47%,5/100,1
1957,Richard Kwietniowski,7.0/10,79%,7/100,1
1958,Shinichirô Watanabe,7.9/10,65%,6/100,1
1959, Tensai Okamura,7.9/10,65%,6/100,1
1960, Hiroyuki Okiura,7.9/10,65%,6/100,1
1961, Yoshiyuki Tak,7.9/10,65%,6/100,1
1962,Phil Alden Robinson,6.4/10,59%,45/100,1
1963,Chuck Russell,5.2/10,22%,26/100,2
1964, Lorna Cook,7.0/10,69%,52/100,1
1965,Adrian Lyne,6.7/10,50%,63/100,1
1966,Kevin Donovan,5.3/10,22%,3/100,1
1967,Stuart Baird,6.4/10,38%,5/100,1
1968, Paul Weitz,6.2/10,56%,54/100,2
1969,Perry Andelin Blake,3.3/10,1%,2/100,1
1970,Tyanna Lazauskas,N/A/10,N/A%,N/A/100,1
1971,Tamra Davis,3.4/10,14%,27/100,1
1972,Marcus Raboy,5.8/10,26%,35/100,1
1973,Barbet Schroeder,6.0/10,N/A%,5/100,1
1974,Rick Rosenthal,4.0/10,12%,9/100,1
1975,Michael Rymer,5.3/10,17%,3/100,1
1976,Steve Beck,5.5/10,14%,28/100,1
1977,Ed Decter,5.9/10,7%,24/100,1
1978,John Stainton,5.4/10,53%,5/100,1
1979, Phil Vischer,6.6/10,66%,58/100,1
1980, Corey Yuen,6.8/10,54%,5/100,1
1981,Seth Kearsley,5.3/10,12%,23/100,1
1982,David Raynr,5.5/10,28%,3/100,2
1983,Ellory Elkayem,5.4/10,48%,53/100,1
1984,Peter Hastings,4.0/10,30%,37/100,1
1985,Peter Kosminsky,7.2/10,69%,6/100,1
1986,Wych Kaosayananda,3.6/10,0%,9/100,1
1987,Bruce McCulloch,5.0/10,9%,25/100,1
1988,Michelle Blasky,8.3/10,N/A%,N/A/100,1
1989,Tuck Tucker,5.9/10,29%,47/100,1
1990,Jesse Vaughan,4.5/10,10%,24/100,1
1991,Craig McCracken,6.5/10,63%,65/100,1
1992,Wallace Wolodarsky,5.4/10,13%,25/100,1
1993, Kirk Wise,7.7/10,73%,74/100,2
1994,Juan Zapata,5.7/10,N/A%,N/A/100,1
1995,Luis Mandoki,5.9/10,18%,40/100,2
1996,Charles Herman-Wurmfeld,6.6/10,84%,72/100,1
1997,Charles Binamé,6.7/10,N/A%,N/A/100,1
1998,Roger Avary,6.7/10,43%,5/100,1
1999,Scott Kalvert,5.6/10,3%,6/100,1
2000,Patricia Cardoso,7.0/10,84%,7/100,1
2001,Carlos Carrera,6.8/10,61%,6/100,1
2002,Dewey Nicks,5.3/10,10%,2/100,1
2003,Ronny Yu,6.3/10,26%,23/100,1
2004,Jez Butterworth,6.0/10,58%,5/100,1
2005,Paul Gross,5.9/10,61%,N/A/100,1
2006,Sandra Nettelbeck,7.3/10,92%,72/100,1
2007,Steven Shainberg,7.0/10,77%,63/100,1
2008,Norman Ferguson,7.5/10,100%,N/A/100,1
2009, T. Hee,7.5/10,100%,N/A/100,1
2010, Bill Roberts,7.5/10,100%,N/A/100,1
2011, Ben Sharpsteen,7.5/10,100%,N/A/100,1
2012,Peter Bogdanovich,6.4/10,74%,63/100,1
2013,Christian Charles,7.0/10,77%,62/100,1
2014,Aleksandr Sokurov,7.4/10,89%,86/100,1
2015,Thomas Riedelsheimer,8.0/10,99%,82/100,1
2016,Abdul Malik Abbott,4.4/10,0%,9/100,1
2017,Paul Schrader,6.6/10,71%,66/100,1
2018,Élie Chouraqui,7.0/10,49%,49/100,1
2019,Peter Care,7.0/10,N/A%,69/100,1
2020, Jim Malone,5.6/10,N/A%,N/A/100,1
2021,Paul Justman,7.8/10,91%,76/100,1
2022,Dover Koshashvili,7.2/10,88%,82/100,1
2023,Julio Medem,7.2/10,71%,65/100,1
2024,Jon Purdy,6.8/10,22%,38/100,1
2025, Brett Morgen,7.4/10,N/A%,75/100,1
2026,Dylan Kidd,7.0/10,88%,75/100,1
2027,Fabián Bielinsky,7.9/10,92%,8/100,1
2028,Yvan Attal,6.4/10,52%,53/100,2
2029,Malik Bader,5.7/10,N/A%,N/A/100,1
2030,Sanjay Gupta,6.6/10,83%,4/100,1
2031,Lorene Machado,7.0/10,N/A%,66/100,1
2032,Nanni Moretti,7.4/10,84%,73/100,1
2033,Ken Russell,7.2/10,63%,N/A/100,1
2034, David Silverman,8.0/10,96%,78/100,1
2035,J.B. Rogers,5.7/10,30%,22/100,2
2036, Mel City,6.7/10,53%,58/100,1
2037,Gary Trousdale,6.8/10,49%,52/100,1
2038,Jerry Zucker,6.4/10,43%,52/100,1
2039,Ted Demme,7.6/10,55%,52/100,1
2040,Harold Becker,5.5/10,24%,29/100,1
2041,David Mirkin,6.2/10,53%,47/100,1
2042,Joel Gallen,5.7/10,30%,32/100,1
2043,Chris Nahon,6.6/10,51%,58/100,1
2044,Chuck Sheetz,6.6/10,61%,43/100,1
2045,Gil Junger,4.8/10,14%,32/100,1
2046,Aurore Damant,N/A/10,N/A%,N/A/100,1
2047,Hironobu Sakaguchi,6.4/10,45%,49/100,1
2048, Motonori Sakakibara,6.4/10,45%,49/100,1
2049,Penny Marshall,6.5/10,49%,43/100,1
2050,Jason Trost,8.0/10,N/A%,N/A/100,1
2051,Simon Wincer,4.8/10,11%,37/100,1
2052,Pat O'Connor,6.7/10,15%,27/100,1
2053,John Herzfeld,6.0/10,33%,34/100,1
2054,Rob Pritts,4.7/10,6%,2/100,1
2055,Doug McHenry,5.7/10,28%,48/100,1
2056,Mark Brown,6.0/10,43%,35/100,1
2057,Jamie Blanks,4.7/10,8%,8/100,1
2058,Daniel Sackheim,5.8/10,21%,34/100,1
2059, Michael Haigney,5.7/10,N/A%,N/A/100,1
2060,Michael Cristofer,6.0/10,12%,33/100,1
2061,Tim Blake Nelson,6.2/10,64%,53/100,1
2062,Demian Lichtenstein,5.9/10,14%,2/100,1
2063,Woo-Ping Yuen,7.6/10,90%,79/100,1
2064,Harry Elfont,5.4/10,52%,47/100,1
2065, Deborah Kaplan,5.4/10,52%,47/100,1
2066,Tom Green,4.5/10,11%,3/100,1
2067,Brendan Malloy,6.3/10,8%,22/100,1
2068, Emmett Malloy,6.3/10,8%,22/100,1
2069,John Boorman,6.0/10,77%,66/100,1
2070,Gregory Poirier,5.3/10,14%,5/100,1
2071,DJ Pooh,4.3/10,4%,8/100,2
2072,J.S. Cardone,5.3/10,7%,35/100,1
2073,David Lynch,8.0/10,83%,83/100,1
2074,Silvio Soldini,7.4/10,71%,68/100,1
2075,Blair Hayes,5.6/10,30%,4/100,1
2076,Jean-Marie Poiré,5.8/10,33%,38/100,1
2077,Ray Lawrence,7.3/10,90%,84/100,1
2078,Maria Ripoll,6.6/10,74%,58/100,1
2079,Eric Bross,4.0/10,19%,34/100,1
2080,Alan Cumming,6.3/10,61%,56/100,1
2081, Jennifer Jason Leigh,6.3/10,61%,56/100,1
2082,Dominik Moll,7.2/10,96%,75/100,1
2083,Louis Saia,5.6/10,N/A%,N/A/100,1
2084,Louis C.K.,5.2/10,29%,3/100,1
2085,Stephen Carpenter,3.9/10,4%,2/100,1
2086,Maggie Greenwald,7.2/10,74%,63/100,1
2087,Rob Sitch,7.2/10,96%,74/100,1
2088,Eric Valli,7.5/10,89%,73/100,1
2089,Edward Burns,6.5/10,56%,49/100,1
