ID,Director Name,IMDB Average,Rotten Tomatoes Average,Metacritic Average,Number of Movies
239,Thomas Purifoy,4.0/10,N/A%,N/A/100,1
240,Jeff Calhoun,8.6/10,N/A%,N/A/100,1
241, Brett Sullivan,8.6/10,N/A%,N/A/100,1
242,Erin Zimmerman,5.4/10,N/A%,N/A/100,1
243,Rob Reiner,6.5/10,37%,43/100,5
244,Justin Chadwick,6.6/10,38%,16/100,3
245,Asghar Farhadi,8.0/10,96%,88/100,3
246,Danny Boyle,7.3/10,76%,64/100,9
247,Kunihiko Yuyama,6.0/10,43%,28/100,4
248,Dallas Jenkins,6.2/10,N/A%,36/100,1
249,Yorgos Lanthimos,7.0/10,79%,73/100,1
250,Eran Creevy,5.7/10,23%,33/100,1
251,Louis Malle,7.3/10,100%,N/A/100,1
252,Raúl Martínez,6.9/10,N/A%,N/A/100,1
253,Mike White,6.2/10,76%,7/100,2
254,Benny Safdie,7.3/10,92%,8/100,1
255, Josh Safdie,7.3/10,92%,8/100,1
256,Shashank Khaitan,6.2/10,78%,N/A/100,1
257,Catalina Aguilar Mastretta,6.5/10,93%,74/100,1
258,Yong-hwa Kim,7.4/10,50%,N/A/100,1
259,Xiaogang Feng,7.3/10,N/A%,69/100,1
260,Terence Davies,6.6/10,84%,79/100,3
261,Shree Narayan Singh,7.4/10,N/A%,N/A/100,1
262,Ben Wheatley,6.4/10,68%,63/100,1
263,Mark Pellington,7.0/10,55%,46/100,4
264,Simon Curtis,7.1/10,67%,41/100,3
265,Brett Morgen,7.7/10,N/A%,81/100,2
266,Joshua Z Weinstein,6.5/10,97%,8/100,1
267,Timothy A. Chey,7.8/10,N/A%,N/A/100,1
268,Imtiaz Ali,6.5/10,36%,N/A/100,3
269,Subhash Kapoor,7.3/10,50%,N/A/100,1
270,Jeff Baena,5.8/10,78%,69/100,1
271,David Lowery,6.8/10,90%,46/100,2
272,Angela Robinson,5.9/10,64%,58/100,2
273,Mitch Davis,5.8/10,31%,38/100,2
274,Ralph Strean,7.0/10,N/A%,N/A/100,1
275,Hun Jang,7.9/10,95%,69/100,1
276,Tomohiko Itô,7.4/10,N/A%,N/A/100,1
277,Carl Upsdell,7.0/10,N/A%,N/A/100,1
278, Mauro Casalese,7.0/10,N/A%,N/A/100,1
279,Ruben Östlund,7.3/10,88%,73/100,2
280,Scott Haze,7.8/10,N/A%,N/A/100,1
281,David Dhawan,4.8/10,50%,N/A/100,2
282,Rama Burshtein,6.7/10,89%,76/100,2
283,Woody Allen,6.8/10,56%,46/100,16
284,Marc Meyers,6.5/10,83%,68/100,1
285,Oren Moverman,5.8/10,67%,67/100,2
286,Olivier Assayas,6.9/10,87%,76/100,4
287,Jonathan Teplitzky,6.8/10,58%,52/100,2
288,Ritesh Batra,7.0/10,85%,41/100,2
289,Rick Altizer,7.8/10,N/A%,N/A/100,1
290,Carlos Bolado,4.0/10,N/A%,N/A/100,1
291,Preston A. Whitmore II,4.4/10,29%,33/100,3
292,Jon Erwin,6.7/10,52%,37/100,4
293,Emil Ben-Shimon,6.7/10,96%,74/100,1
294,Michael Winterbottom,6.8/10,84%,62/100,5
295,Amanda Lipitz,6.8/10,95%,8/100,1
296,William Oldroyd,6.9/10,89%,76/100,1
297,Gurinder Chadha,6.9/10,74%,60/100,4
298,Seung-wan Ryoo,7.0/10,72%,6/100,2
299,Todd Haynes,7.0/10,82%,65/100,4
300,Kogonada,7.3/10,98%,89/100,1
301,Rohit Shetty,5.5/10,48%,45/100,6
302,Gareth Edwards,7.1/10,80%,64/100,2
303,Andrew Stanton,7.6/10,85%,46/100,4
304, Angus MacLan,7.4/10,94%,77/100,1
305,Anthony Russo,7.1/10,67%,43/100,3
306, Joe Russo,7.1/10,67%,43/100,3
307,Chris Renaud,7.2/10,77%,47/100,3
308, Yarrow Cheney,6.5/10,75%,6/100,1
309,Jon Favreau,7.0/10,83%,68/100,7
310,Tim Miller,8.0/10,83%,65/100,1
311,Byron Howard,7.6/10,92%,51/100,3
312, Rich Moore,8.0/10,98%,78/100,1
313, Jared Bush,8.0/10,98%,78/100,1
314,David Ayer,6.8/10,49%,42/100,6
315,Garth Jennings,6.9/10,69%,63/100,3
316, Christophe Lourdel,7.0/10,73%,59/100,1
317,Ron Clements,7.2/10,83%,29/100,3
318, John Musker,7.2/10,83%,29/100,3
319, Don Hall,7.4/10,94%,41/100,2
320, Chris Williams,7.4/10,91%,50/100,3
321,David Yates,7.4/10,75%,58/100,6
322,Scott Derrickson,6.5/10,44%,36/100,5
323,Theodore Melfi,7.5/10,85%,69/100,2
324,Paul Greengrass,7.4/10,78%,62/100,6
325,Bryan Singer,6.9/10,68%,54/100,6
326,Mike Mitchell,5.8/10,50%,45/100,6
327, Walt Dohrn,6.5/10,73%,56/100,1
328,Damien Chazelle,8.2/10,93%,90/100,2
329,Alessandro Carloni,7.0/10,86%,66/100,1
330, Jennifer Yuh Nelson,7.0/10,86%,66/100,1
331,Paul Feig,6.1/10,70%,41/100,5
332,Rawson Marshall Thurber,6.7/10,62%,50/100,3
333,Clay Kaytis,6.3/10,43%,43/100,1
334, Fergal Reilly,6.3/10,43%,43/100,1
335,Roland Emmerich,6.1/10,40%,40/100,7
336,James Wan,7.0/10,55%,46/100,8
337,Morten Tyldum,7.5/10,71%,50/100,3
338,Greg Tiernan,5.3/10,43%,47/100,2
339, Conrad Vernon,6.8/10,83%,49/100,3
340,Antoine Fuqua,6.9/10,51%,48/100,9
341,Tim Story,6.2/10,46%,24/100,10
342,Fede Alvarez,6.8/10,75%,32/100,2
343,Tim Burton,6.8/10,66%,57/100,8
344,Gavin O'Connor,7.2/10,64%,32/100,4
345,Dave Green,5.9/10,44%,28/100,2
346,James DeMonaco,6.1/10,49%,21/100,3
347,James Bobin,6.5/10,68%,38/100,3
348,Tate Taylor,7.1/10,66%,39/100,3
349,Nicholas Stoller,6.4/10,70%,63/100,6
350, Doug Sweetland,6.8/10,63%,56/100,1
351,Dan Trachtenberg,7.2/10,90%,76/100,1
352,Mel Gibson,7.7/10,67%,41/100,3
353,Jon M. Chu,4.6/10,35%,30/100,5
354,Mike Thurmeier,6.4/10,33%,29/100,3
355, Galen T. Chu,5.7/10,16%,34/100,1
